timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1516734853559,758,HTTP Request,200,OK,Thread Group 1-9,text,true,,112273,117,83,83,598,0,252
1516734853513,808,HTTP Request,200,OK,Thread Group 1-5,text,true,,112266,117,83,83,641,0,296
1516734853559,851,HTTP Request,200,OK,Thread Group 1-10,text,true,,112273,117,91,91,623,0,260
1516734853621,890,HTTP Request,200,OK,Thread Group 1-14,text,true,,112273,117,100,100,697,0,264
1516734853695,827,HTTP Request,200,OK,Thread Group 1-21,text,true,,112272,117,100,100,627,0,266
1516734853667,896,HTTP Request,200,OK,Thread Group 1-19,text,true,,112273,117,100,100,633,0,248
1516734853621,946,HTTP Request,200,OK,Thread Group 1-15,text,true,,112273,117,100,100,690,0,260
1516734853528,1041,HTTP Request,200,OK,Thread Group 1-6,text,true,,112271,117,100,100,671,0,291
1516734853497,1076,HTTP Request,200,OK,Thread Group 1-3,text,true,,112273,117,100,100,702,0,312
1516734853750,828,HTTP Request,200,OK,Thread Group 1-27,text,true,,112271,117,100,100,631,0,262
1516734853487,1176,HTTP Request,200,OK,Thread Group 1-1,text,true,,112272,117,100,100,729,0,353
1516734853796,875,HTTP Request,200,OK,Thread Group 1-32,text,true,,112266,117,100,100,599,0,255
1516734853827,846,HTTP Request,200,OK,Thread Group 1-35,text,true,,112273,117,100,100,607,0,264
1516734853513,1162,HTTP Request,200,OK,Thread Group 1-4,text,true,,112273,117,100,100,695,0,325
1516734853750,935,HTTP Request,200,OK,Thread Group 1-28,text,true,,112266,117,100,100,612,0,262
1516734853735,952,HTTP Request,200,OK,Thread Group 1-26,text,true,,112273,117,100,100,656,0,259
1516734853544,1147,HTTP Request,200,OK,Thread Group 1-8,text,true,,112273,117,100,100,662,0,265
1516734853858,833,HTTP Request,200,OK,Thread Group 1-39,text,true,,112273,117,100,100,609,0,259
1516734853868,825,HTTP Request,200,OK,Thread Group 1-40,text,true,,112273,117,100,100,627,0,264
1516734853813,881,HTTP Request,200,OK,Thread Group 1-33,text,true,,112273,117,100,100,593,0,246
1516734853899,801,HTTP Request,200,OK,Thread Group 1-43,text,true,,112273,117,100,100,628,0,252
1516734853606,1095,HTTP Request,200,OK,Thread Group 1-13,text,true,,112272,117,100,100,633,0,275
1516734853766,936,HTTP Request,200,OK,Thread Group 1-29,text,true,,112273,117,100,100,630,0,267
1516734853637,1068,HTTP Request,200,OK,Thread Group 1-16,text,true,,112271,117,100,100,633,0,264
1516734853897,823,HTTP Request,200,OK,Thread Group 1-42,text,true,,112273,117,100,100,617,0,276
1516734853637,1110,HTTP Request,200,OK,Thread Group 1-17,text,true,,112273,117,100,100,633,0,270
1516734853939,819,HTTP Request,200,OK,Thread Group 1-47,text,true,,112266,117,100,100,739,0,272
1516734853544,1220,HTTP Request,200,OK,Thread Group 1-7,text,true,,112272,117,100,100,713,0,264
1516734853816,957,HTTP Request,200,OK,Thread Group 1-34,text,true,,112271,117,100,100,602,0,253
1516734853703,1071,HTTP Request,200,OK,Thread Group 1-23,text,true,,112273,117,100,100,626,0,271
1516734853781,1025,HTTP Request,200,OK,Thread Group 1-30,text,true,,112273,117,100,100,631,0,260
1516734853664,1151,HTTP Request,200,OK,Thread Group 1-18,text,true,,112273,117,100,100,619,0,254
1516734854326,497,HTTP Request,200,OK,Thread Group 1-9,text,true,,112272,117,100,100,370,0,0
1516734853780,1051,HTTP Request,200,OK,Thread Group 1-31,text,true,,112273,117,100,100,634,0,271
1516734853999,838,HTTP Request,200,OK,Thread Group 1-52,text,true,,112266,117,100,100,667,0,269
1516734853691,1149,HTTP Request,200,OK,Thread Group 1-22,text,true,,112273,117,100,100,638,0,253
1516734854032,831,HTTP Request,200,OK,Thread Group 1-55,text,true,,112273,117,100,100,669,0,278
1516734853984,888,HTTP Request,200,OK,Thread Group 1-50,text,true,,112264,117,100,100,721,0,270
1516734853718,1159,HTTP Request,200,OK,Thread Group 1-24,text,true,,112271,117,100,100,625,0,279
1516734854325,566,HTTP Request,200,OK,Thread Group 1-5,text,true,,112273,117,100,100,381,0,0
1516734853878,1030,HTTP Request,200,OK,Thread Group 1-41,text,true,,112273,117,100,100,624,0,258
1516734853847,1134,HTTP Request,200,OK,Thread Group 1-36,text,true,,112273,117,100,100,617,0,253
1516734853950,1048,HTTP Request,200,OK,Thread Group 1-48,text,true,,112273,117,100,100,727,0,250
1516734854166,850,HTTP Request,200,OK,Thread Group 1-69,text,true,,112271,117,100,100,645,0,275
1516734854118,901,HTTP Request,200,OK,Thread Group 1-64,text,true,,112272,117,100,100,695,0,275
1516734853681,1347,HTTP Request,200,OK,Thread Group 1-20,text,true,,112273,117,100,100,727,0,283
1516734854410,636,HTTP Request,200,OK,Thread Group 1-10,text,true,,112273,117,100,100,363,0,0
1516734854079,984,HTTP Request,200,OK,Thread Group 1-61,text,true,,112271,117,100,100,623,0,256
1516734854071,992,HTTP Request,200,OK,Thread Group 1-60,text,true,,112273,117,100,100,659,0,276
1516734854046,1093,HTTP Request,200,OK,Thread Group 1-56,text,true,,112273,117,100,100,652,0,256
1516734854511,644,HTTP Request,200,OK,Thread Group 1-14,text,true,,112271,117,100,100,399,0,0
1516734854563,604,HTTP Request,200,OK,Thread Group 1-19,text,true,,112273,117,100,100,424,0,0
1516734853909,1267,HTTP Request,200,OK,Thread Group 1-44,text,true,,112273,117,100,100,818,0,452
1516734854568,659,HTTP Request,200,OK,Thread Group 1-15,text,true,,112273,117,100,100,348,0,0
1516734854231,1014,HTTP Request,200,OK,Thread Group 1-76,text,true,,112273,117,100,100,661,0,301
1516734854277,969,HTTP Request,200,OK,Thread Group 1-80,text,true,,112273,117,100,100,692,0,281
1516734854691,577,HTTP Request,200,OK,Thread Group 1-39,text,true,,112273,117,100,100,340,0,0
1516734854262,1007,HTTP Request,200,OK,Thread Group 1-79,text,true,,112273,117,100,100,610,0,263
1516734854132,1148,HTTP Request,200,OK,Thread Group 1-66,text,true,,112271,117,100,100,622,0,262
1516734854674,625,HTTP Request,200,OK,Thread Group 1-35,text,true,,112273,117,100,100,375,0,0
1516734853590,1728,HTTP Request,200,OK,Thread Group 1-12,text,true,,112273,117,100,100,1430,0,260
1516734853999,1323,HTTP Request,200,OK,Thread Group 1-53,text,true,,112273,117,100,100,698,0,275
1516734854759,586,HTTP Request,200,OK,Thread Group 1-47,text,true,,112273,117,100,100,409,0,0
1516734854225,1122,HTTP Request,200,OK,Thread Group 1-75,text,true,,112264,117,100,100,599,0,254
1516734854105,1262,HTTP Request,200,OK,Thread Group 1-62,text,true,,112273,117,100,100,621,0,278
1516734854693,678,HTTP Request,200,OK,Thread Group 1-40,text,true,,112273,117,100,100,390,0,0
1516734854720,652,HTTP Request,200,OK,Thread Group 1-42,text,true,,112272,117,100,100,360,0,0
1516734854863,522,HTTP Request,200,OK,Thread Group 1-55,text,true,,112273,117,100,100,386,0,0
1516734854686,703,HTTP Request,200,OK,Thread Group 1-28,text,true,,112272,117,100,100,424,0,0
1516734854872,533,HTTP Request,200,OK,Thread Group 1-50,text,true,,112273,117,100,100,453,0,0
