Elapsed time;HTTP Request;HTTP Request 2
02:01:47,500;802.4;
02:01:48,0;824.4137931034483;534.5
02:01:48,500;1243.85;737.0555555555555
02:01:49,0;1195.7878787878788;933.2666666666667
02:01:49,500;1248.0344827586207;912.9230769230769
02:01:50,0;1460.9;1044.3043478260872
02:01:50,500;937.6388888888889;1031.7586206896551
02:01:51,0;1063.8571428571431;974.1199999999999
02:01:51,500;864.5652173913044;1038.15
02:01:52,0;1132.72;1041.3870967741937
02:01:52,500;937.25;1146.15
02:01:53,0;976.1785714285714;921.2777777777778
02:01:53,500;1155.9032258064517;1033.608695652174
02:01:54,0;1047.5;1178.09375
02:01:54,500;951.0416666666666;1043.242424242424
02:01:55,0;810.7333333333333;957.0769230769231
02:01:55,500;887.4;820.5714285714286
02:01:56,0;727.2631578947369;882.8
02:01:56,500;1033.388888888889;942.25
02:01:57,0;969.1333333333333;881.0
02:01:57,500;821.0454545454545;734.6153846153846
02:01:58,0;731.8888888888889;1041.2857142857142
02:01:58,500;902.2;778.6818181818181
02:01:59,0;688.4545454545455;635.75
02:01:59,500;1057.5714285714287;975.8636363636364
02:02:00,0;855.875;988.2105263157895
02:02:00,500;719.0526315789474;673.6
02:02:01,0;792.7777777777778;660.6842105263158
02:02:01,500;762.4285714285714;654.2631578947369
02:02:02,0;738.4444444444445;644.6190476190476
02:02:02,500;662.7647058823529;715.4666666666667
02:02:03,0;685.1333333333333;623.5882352941177
02:02:03,500;595.8461538461538;681.8999999999999
02:02:04,0;678.3571428571429;680.5833333333333
02:02:04,500;696.4;684.9285714285714
02:02:05,0;592.0;639.8888888888889
02:02:05,500;686.0;669.8888888888889
02:02:06,0;587.6666666666666;724.5
02:02:06,500;610.6666666666666;849.5
02:02:07,0;610.0;761.75
02:02:07,500;608.0;684.6666666666666
02:02:08,0;;549.0
02:02:16,0;16963.0;
02:02:16,500;;870.0
02:02:17,500;617.0;16043.0
02:02:18,0;;560.0
02:02:18,500;870.0;
02:02:19,0;889.0;608.0
02:02:19,500;;611.0
02:02:47,500;;52866.0
02:02:48,0;36221.0;53864.5
02:02:48,500;39034.71428571428;45186.0
02:02:49,0;32869.8;31325.14285714286
02:02:49,500;9671.333333333334;25457.76923076923
02:02:50,0;4598.928571428572;7251.250000000001
02:02:50,500;4267.200000000001;8323.952380952382
02:02:51,0;641.8947368421053;673.6923076923077
02:02:51,500;652.6;4474.142857142857
02:02:52,0;687.0909090909091;728.9333333333333
02:02:52,500;698.6315789473684;688.8823529411765
02:02:53,0;667.3571428571429;625.1176470588235
02:02:53,500;692.3529411764706;680.5294117647059
02:02:54,0;648.4117647058823;594.9166666666666
02:02:54,500;651.25;649.2222222222222
02:02:55,0;641.75;697.5333333333333
02:02:55,500;617.1428571428571;646.8888888888889
02:02:56,0;5654.545454545455;665.4
02:02:56,500;668.0;662.8571428571429
02:02:57,0;687.6;675.125
02:02:57,500;622.8888888888889;563.8888888888889
02:02:58,0;773.0;561.3333333333334
02:02:58,500;506.0;596.0
02:02:59,0;;784.0
02:02:59,500;;814.0
02:03:00,0;628.0;
02:03:01,0;;566.0
02:03:01,500;838.0;
02:03:02,500;;808.0
02:03:04,0;68140.0;64399.0
02:03:05,0;816.0;34050.5
02:03:05,500;708.5;596.0
02:03:06,0;;586.0
02:03:06,500;;760.0
02:03:07,0;780.0;
02:03:07,500;71399.0;634.0
02:03:08,0;586.0;919.0
02:03:08,500;465.0;
02:03:09,0;662.0;663.0
02:03:09,500;562.5;584.0
02:03:10,0;;798.0
02:03:10,500;;580.0
02:03:11,0;731.5;
02:03:11,500;;610.5
02:03:12,500;1097.0;
02:03:13,0;;642.0
02:03:14,0;620.0;
02:03:14,500;;648.0
02:03:15,0;526.0;
02:03:15,500;;478.0
