timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1516734107146,770,HTTP Request,200,OK,Thread Group 1-6,text,true,,112273,117,83,83,610,0,261
1516734107177,753,HTTP Request,200,OK,Thread Group 1-10,text,true,,112273,117,83,83,597,0,247
1516734107146,791,HTTP Request,200,OK,Thread Group 1-7,text,true,,112273,117,84,84,620,0,264
1516734107115,824,HTTP Request,200,OK,Thread Group 1-4,text,true,,112273,117,85,85,657,0,292
1516734107162,781,HTTP Request,200,OK,Thread Group 1-8,text,true,,112273,117,85,85,618,0,265
1516734107099,852,HTTP Request,200,OK,Thread Group 1-3,text,true,,112272,117,85,85,688,0,296
1516734107099,859,HTTP Request,200,OK,Thread Group 1-2,text,true,,112273,117,86,86,687,0,324
1516734107196,788,HTTP Request,200,OK,Thread Group 1-12,text,true,,112271,117,88,88,622,0,279
1516734107193,794,HTTP Request,200,OK,Thread Group 1-11,text,true,,112271,117,88,88,612,0,251
1516734107177,812,HTTP Request,200,OK,Thread Group 1-9,text,true,,112273,117,89,89,619,0,269
1516734107233,774,HTTP Request,200,OK,Thread Group 1-16,text,true,,112266,117,92,92,620,0,242
1516734107227,796,HTTP Request,200,OK,Thread Group 1-15,text,true,,112273,117,93,93,635,0,274
1516734107216,814,HTTP Request,200,OK,Thread Group 1-14,text,true,,112273,117,94,94,653,0,275
1516734107265,808,HTTP Request,200,OK,Thread Group 1-17,text,true,,112273,117,97,97,629,0,281
1516734107292,802,HTTP Request,200,OK,Thread Group 1-21,text,true,,112272,117,99,99,637,0,256
1516734107354,744,HTTP Request,200,OK,Thread Group 1-27,text,true,,112273,117,99,99,590,0,245
1516734107277,835,HTTP Request,200,OK,Thread Group 1-19,text,true,,112266,117,100,100,651,0,292
1516734107323,793,HTTP Request,200,OK,Thread Group 1-24,text,true,,112266,117,100,100,623,0,260
1516734107369,787,HTTP Request,200,OK,Thread Group 1-28,text,true,,112273,117,100,100,617,0,266
1516734107324,842,HTTP Request,200,OK,Thread Group 1-23,text,true,,112273,117,100,100,633,0,260
1516734107416,750,HTTP Request,200,OK,Thread Group 1-32,text,true,,112272,117,100,100,593,0,243
1516734107385,783,HTTP Request,200,OK,Thread Group 1-29,text,true,,112273,117,100,100,609,0,253
1516734107354,816,HTTP Request,200,OK,Thread Group 1-26,text,true,,112273,117,100,100,621,0,258
1516734107404,776,HTTP Request,200,OK,Thread Group 1-31,text,true,,112272,117,100,100,624,0,246
1516734107338,873,HTTP Request,200,OK,Thread Group 1-25,text,true,,112273,117,100,100,616,0,262
1516734107467,745,HTTP Request,200,OK,Thread Group 1-38,text,true,,112266,117,100,100,582,0,248
1516734107131,1111,HTTP Request,200,OK,Thread Group 1-5,text,true,,112272,117,100,100,900,0,257
1516734107431,812,HTTP Request,200,OK,Thread Group 1-34,text,true,,112273,117,100,100,637,0,275
1516734107484,764,HTTP Request,200,OK,Thread Group 1-41,text,true,,112273,117,100,100,607,0,256
1516734107482,773,HTTP Request,200,OK,Thread Group 1-39,text,true,,112273,117,100,100,612,0,259
1516734107416,842,HTTP Request,200,OK,Thread Group 1-33,text,true,,112273,117,100,100,624,0,257
1516734107447,833,HTTP Request,200,OK,Thread Group 1-36,text,true,,112272,117,100,100,666,0,268
1516734107447,834,HTTP Request,200,OK,Thread Group 1-35,text,true,,112272,117,100,100,599,0,258
1516734107517,788,HTTP Request,200,OK,Thread Group 1-42,text,true,,112273,117,100,100,629,0,256
1516734107556,872,HTTP Request,200,OK,Thread Group 1-47,text,true,,112273,117,100,100,599,0,261
1516734107533,904,HTTP Request,200,OK,Thread Group 1-44,text,true,,112273,117,100,100,634,0,270
1516734107586,875,HTTP Request,200,OK,Thread Group 1-50,text,true,,112273,117,100,100,616,0,272
1516734107586,876,HTTP Request,200,OK,Thread Group 1-49,text,true,,112273,117,100,100,613,0,257
1516734107932,533,HTTP Request 2,200,OK,Thread Group 1-6,text,true,,112264,117,100,100,362,0,0
1516734107586,886,HTTP Request,200,OK,Thread Group 1-51,text,true,,112266,117,100,100,609,0,258
1516734107951,536,HTTP Request 2,200,OK,Thread Group 1-3,text,true,,112273,117,100,100,338,0,0
1516734107617,989,HTTP Request,200,OK,Thread Group 1-52,text,true,,112272,117,100,100,603,0,260
1516734107987,714,HTTP Request 2,200,OK,Thread Group 1-11,text,true,,112273,117,100,100,542,0,0
